active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,345458254.0,POE,Po.et,,0.00000051,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,173.22078004,345458254.00000000,0,0.00000051,10163060.00000000,0.00000052,868628.00000000,2019-07-01T03:31:45.853045
True,0.0,349749196.0,POE,Po.et,,0.00000052,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,175.42845144,349749196.00000000,0,0.00000051,756387.00000000,0.00000052,2567986.00000000,2019-07-01T03:37:09.420003
True,0.0,349701098.0,POE,Po.et,,0.00000051,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000045,BTC,BTC,4.5e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,175.41067656,349701098.00000000,0,0.00000051,1794128.00000000,0.00000052,2614768.00000000,2019-07-01T03:42:34.912820
True,0.0,351744572.0,POE,Po.et,,0.00000051,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.45988114,351744572.00000000,0,0.00000050,6221378.00000000,0.00000052,1499128.00000000,2019-07-01T03:47:59.837101
True,0.0,352237819.0,POE,Po.et,,0.00000051,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.72001313,352237819.00000000,0,0.00000051,1557689.00000000,0.00000052,1491879.00000000,2019-07-01T03:53:23.687655
True,0.0,352264486.0,POE,Po.et,,0.00000052,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.739407,352264486.00000000,0,0.00000051,584962.00000000,0.00000052,1928702.00000000,2019-07-01T03:58:48.626384
True,0.0,352226653.0,POE,Po.et,,0.00000051,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.72448612,352226653.00000000,0,0.00000051,1429661.00000000,0.00000052,1943213.00000000,2019-07-01T04:04:13.119400
True,0.0,352427715.0,POE,Po.et,,0.00000052,8,0.00000056,-1,0.00000043,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.82894222,352427715.00000000,0,0.00000051,1691731.00000000,0.00000052,1715778.00000000,2019-07-01T04:09:38.967925
True,0.0,349920473.0,POE,Po.et,,0.00000052,8,0.00000056,-1,0.00000044,BTC,BTC,STANDARD,1e-08,1.0,0.00000044,BTC,BTC,4.4e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,175.77675838,349920473.00000000,0,0.00000051,2072691.00000000,0.00000052,1483198.00000000,2019-07-01T04:15:02.241015
True,0.0,351155997.0,POE,Po.et,,0.00000052,8,0.00000056,-1,0.00000044,BTC,BTC,STANDARD,1e-08,1.0,0.00000045,BTC,BTC,4.5e-07,,BTC,Bitcoin,฿,TRADING,POEBTC,0.00000001,176.42170822,351155997.00000000,0,0.00000051,1806144.00000000,0.00000052,353804.00000000,2019-07-01T04:20:25.700467
